address,lat,long
"9245 W Glendale Ave, Glendale, AZ, 85305",33.53737352399515,-112.25795465440432
"7444 E Hampton Ave, Mesa, AZ, 85209",33.39197315,-111.67128093322071
"8300 East Raintree Drive, Scottsdale, AZ, 85260",33.61980555,-111.90187713981916
"7014 E. Camelback Road, Scottsdale, AZ, 85251",33.5040247,-111.9287732
"2077 East University Drive, Tempe, AZ, 85281",33.42165265,-111.89733809783736
"5081 N Oracle Rd, Tucson, AZ, 85704",32.299152907758085,-110.97816935734554
"3286 Airway Drive, Santa Rosa, CA, 95403",38.4740762,-122.737572
"28721 Canwood Street Bldg A, Agoura Hills, CA, 91301",34.1460055,-118.75114911380508
"1200 W Main St, Alhambra, CA, 91801",34.0912668,-118.1360646
"5206 Young St, Bakersfield, CA, 93311",35.3074019,-119.0982174
"1065 BREA MALL, BREA, CA, 92821",33.91681935,-117.88318558456494
"6692 Auto Center Drive, Buena Park, CA, 90621",33.86364905000001,-117.99054339898883
"811 South San Fernando Boulevard, Burbank, CA, 91502",34.17562747385982,-118.30169658844244
"50 Edwards Ct, Burlingame, CA, 94010",37.5932234,-122.3672268866903
"311 E Daily Drive, Camarillo, CA, 93010",34.2198361,-119.0655548
"6600 Topanga Canyon Blvd, Canoga Park, CA, 91303",34.1911898,-118.6024518
"3248 Lionshead Avenue, Carlsbad, CA, 92010",33.1334215,-117.2343514
"201 Casa Buena Dr, Corte Madera, CA, 94925",37.9242456,-122.5145935
"6000 Sepulveda Blvd., Culver City, CA, 90230-6421",33.985903,-118.39321
"6701 Amador Plaza Road, Dublin, CA, 94568",37.70273655,-121.92491524800528
"8525 Bond Rd, Elk Grove, CA, 95624",38.4238403,-121.3887566
"4260 Broadway St, Eureka, CA, 95503-5738",40.7678943,-124.19225193938269
"13000 Folsom Blvd, Folsom, CA, 95630",38.6440013,-121.1881007
"45500 Fremont Blvd, Fremont, CA, 94538",37.4969675,-121.9449331
"2988 N Burl Ave, Fresno, CA, 93727",36.77892285,-119.6755531
"Leavesley Rd, Gilroy, CA, 95020-3647",37.02390567653578,-121.5625781705073
"500 Automall Dr, Gilroy, CA, 95020",36.997376936147504,-121.55898764575714
"539 Americana Way, Glendale, CA, 91210",34.1436909,-118.2572431
"2801 Barranca Pkwy, Irvine, CA, 92606",33.69397235,-117.8255193507042
"25471 Arctic Ocean Dr, Lake Forest, CA, 92630",33.6681319,-117.6860349
"1800 E SPRING ST, LONG BEACH, CA, 90755",33.8112131,-118.1695321
"10250 Santa Monica Blvd, Los Angeles, CA, 90067",34.0594633,-118.4190927
"5840 W Centinela Avenue, Los Angeles, CA, 90045",33.97649503124764,-118.38424602730386
"23401 Civic Center Way, Malibu, CA, 90265",34.0373407,-118.6863887
"4755 Alla Road, Marina Del Rey, CA, 90292",33.9830211,-118.4307553
"1425 Martin Luther King Junior Way, Merced, CA, 95340",37.2975948,-120.4834887
"820 THE SHOPS AT MISSION VIEJO, MISSION VIEJO, CA, 92691",33.55967549100589,-117.66642790434857
"1533 Oakdale Rd, Modesto, CA, 95355",37.6666744,-120.95800542367584
"629 Factory Stores Drive, Napa, CA, 94558",38.2960716,-122.3030827
"367 Newport Center Drive, Newport Beach, CA, 92660",33.61898840380342,-117.87655837931533
